"image","xmin","ymin","xmax","ymax","label"
"sv_%20(1).jpg",1121.7815845824412,1951.1589174107141,1682.2405647751607,2460.672120535714,"OR"
"sv_%20(1).jpg",1177.038175856531,841.2891127232142,1808.5413878479658,1382.3999999999999,"OR"
"sv_%20(1).jpg",3009.5074946466802,1372.5257142857142,3670.612419700214,1876.1142857142856,"AND"
"sv_%20(1).jpg",1453.3208311027838,2405.376060267857,1757.231631423983,2579.163549107143,"text"
"sv_%20(1).jpg",1559.8868776766594,706.9988420758929,1848.0103385974303,900.5348270089286,"text"
"sv_%20(1).jpg",3300.467545503212,1907.7119698660713,3781.988925321199,2105.1978348214284,"text"
"sv_%20(10).jpg",2514.414245548266,397.89382697268076,3309.813964386129,1132.3192333106613,"OR"
"sv_%20(10).jpg",610.369259606373,1083.1527250155957,1157.014526710403,1676.2242734775098,"AND"
"sv_%20(10).jpg",730.1398781630741,1774.557290067641,1218.4353327085287,1958.9318720074402,"text"
"sv_%20(10).jpg",2836.8734770384253,1153.8296246480784,3251.463917525773,1344.3500494303114,"text"
"sv_%20(2).jpg",1196.9379100281162,376.73563432835823,1838.7853795688848,622.610319815109,"text"
"sv_%20(2).jpg",561.2326616682287,1375.6013645912285,727.0687675726336,1507.7589530830953,"crossover"
"sv_%20(2).jpg",889.8339971883787,757.8412942459335,1018.8175960637302,874.6317185586959,"junction"
"sv_%20(2).jpg",567.3747656982193,1083.6252451882433,631.866565135895,1163.5344520227231,"junction"
"sv_%20(2).jpg",1140.1237113402062,668.4716417910448,1904.0449859418932,1156.379104477612,"NAND"
"sv_%20(2).jpg",1396.5555295220245,2322.2186545756326,1777.3645735707591,2500.4778528469715,"text"
"sv_%20(2).jpg",3057.9885192127463,1642.990044756078,3540.1419868791004,1775.1475160057867,"text"
"sv_%20(2).jpg",2993.49648547329,1068.2580810091388,3558.5679475164015,1572.3009957384706,"AND"
"sv_%20(2).jpg",1252.2167291471415,1735.193029830705,1943.2007966260544,2276.1171620383193,"NOR"
"sv_%20(3).jpg",709.3845060968802,97.68086965783054,1096.447985004686,231.46403408433537,"text"
"sv_%20(3).jpg",2199.161344576463,1229.263315928509,2474.8397375820055,1393.704912882732,"text"
"sv_%20(3).jpg",639.7687610172176,256.54830764096425,1216.1871515218634,719.2150381003996,"AND"
"sv_%20(3).jpg",2001.4526710403,693.3032128514055,2586.224929709466,1223.6888911542162,"OR"
"sv_%20(4).jpg",774.1410204414575,106.9430545602311,1177.0605865735927,278.897639446078,"text"
"sv_%20(4).jpg",771.3233364573571,1896.9620357718002,1185.5135310422402,2128.114000218148,"text"
"sv_%20(4).jpg",2081.5164011246484,1423.3821390194096,2383.0018159532056,1575.6042640517562,"text"
